qty_dot_url,qty_hyphen_url,qty_slash_url,qty_dot_domain,qty_hyphen_domain,qty_dot_directory,qty_hyphen_directory,length_url,domain_length,directory_length,file_length,time_response,qty_ip_resolved,qty_nameservers,phishing
3,0,0,3,0,-1,-1,17,17,-1,-1,-1.0,1,2,0
1,0,1,1,0,0,0,23,22,1,0,0.493379,1,4,0
1,2,0,1,2,-1,-1,31,31,-1,-1,0.431379,1,2,0
2,0,2,2,0,0,0,48,15,33,24,0.170625,1,4,0
2,1,0,2,1,-1,-1,21,21,-1,-1,0.453903,1,2,0
2,0,0,2,0,-1,-1,9,9,-1,-1,0.304335,1,4,0
2,0,2,2,0,0,0,50,16,34,28,0.031554,1,3,0
3,0,0,3,0,-1,-1,19,19,-1,-1,0.227684,1,2,0
2,0,1,2,0,0,0,23,22,1,0,2.000755,1,2,0
2,0,1,2,0,0,0,15,14,1,0,0.456331,1,2,0
2,0,0,2,0,-1,-1,22,22,-1,-1,-1.0,1,5,0
3,2,3,2,0,1,2,49,10,39,8,2.053751,1,2,0
2,0,1,2,0,0,0,19,18,1,0,0.365643,1,2,0
2,0,0,2,0,-1,-1,17,17,-1,-1,-1.0,-1,3,0
2,0,2,2,0,0,0,33,13,20,0,0.118652,1,2,0
3,0,0,3,0,-1,-1,17,17,-1,-1,2.763682,2,2,0
2,0,0,2,0,-1,-1,15,15,-1,-1,0.122876,1,4,0
3,0,2,2,0,1,0,26,13,13,9,0.657526,1,3,0
2,1,0,2,1,-1,-1,22,22,-1,-1,0.214094,1,5,0
2,1,1,2,1,0,0,17,16,1,0,0.400295,2,2,0
4,0,2,2,0,2,0,39,16,23,0,0.234667,1,2,0
1,0,0,1,0,-1,-1,18,18,-1,-1,0.369719,1,2,0
3,0,0,3,0,-1,-1,16,16,-1,-1,-1.0,-1,5,0
3,0,0,3,0,-1,-1,23,23,-1,-1,0.073456,1,4,0
2,0,0,2,0,-1,-1,20,20,-1,-1,4.034911,1,2,0
3,0,2,3,0,0,0,40,21,19,10,0.96799,1,4,0
3,0,1,3,0,0,0,21,20,1,0,1.411685,1,2,0
